"Route ID","Route Code","Depot Id","Depot Name",Location,"Agent ID","Agent Code","Agent name","Region ID","Region Name","Sub Region ID","Sub Region Name",Country,"Regional Sales Manager ID","Regional Sales Manager Name","Regional Sales Manager Data","Area Sales Supervisor ID","Area Sales Supervisor Name","Area Sales Supervisor Data"
1,RT0001,2,"Atuwanguza Investments Ltd - Bweyogerere",BWEYOGERERE,1,HC00000001,"Atuwanguza Investments Ltd - Bweyogerere",2,Central1,25,"South Buganda 7",Uganda,107,"Central 1 Jerome","107-Central 1 Jerome",103,"SB7 Esau","103-SB7 Esau"
2,RT0002,2,"Atuwanguza Investments Ltd - Bweyogerere",BWEYOGERERE,1,HC00000001,"Atuwanguza Investments Ltd - Bweyogerere",2,Central1,25,"South Buganda 7",Uganda,107,"Central 1 Jerome","107-Central 1 Jerome",103,"SB7 Esau","103-SB7 Esau"
3,RT0003,2,"Atuwanguza Investments Ltd - Bweyogerere",BWEYOGERERE,1,HC00000001,"Atuwanguza Investments Ltd - Bweyogerere",2,Central1,25,"South Buganda 7",Uganda,107,"Central 1 Jerome","107-Central 1 Jerome",103,"SB7 Esau","103-SB7 Esau"
242,RT0229,2,"Atuwanguza Investments Ltd - Bweyogerere",BWEYOGERERE,1,HC00000001,"Atuwanguza Investments Ltd - Bweyogerere",2,Central1,25,"South Buganda 7",Uganda,107,"Central 1 Jerome","107-Central 1 Jerome",103,"SB7 Esau","103-SB7 Esau"
4,RT0004,3,"Atuwanguza Investments Ltd -Seeta",SEETA,2,HC00000002,"Atuwanguza Investments Ltd -Seeta",2,Central1,25,"South Buganda 7",Uganda,107,"Central 1 Jerome","107-Central 1 Jerome",103,"SB7 Esau","103-SB7 Esau"
5,RT0005,3,"Atuwanguza Investments Ltd -Seeta",SEETA,2,HC00000002,"Atuwanguza Investments Ltd -Seeta",2,Central1,25,"South Buganda 7",Uganda,107,"Central 1 Jerome","107-Central 1 Jerome",103,"SB7 Esau","103-SB7 Esau"
243,RT0230,3,"Atuwanguza Investments Ltd -Seeta",SEETA,2,HC00000002,"Atuwanguza Investments Ltd -Seeta",2,Central1,25,"South Buganda 7",Uganda,107,"Central 1 Jerome","107-Central 1 Jerome",103,"SB7 Esau","103-SB7 Esau"
6,RT0006,4,"Atuwanguza Investments Ltd - Abaita",ABAITA,3,HC00000003,"Atuwanguza Investments Ltd - Abaita",2,Central1,25,"South Buganda 7",Uganda,107,"Central 1 Jerome","107-Central 1 Jerome",284,"SB4 Nakiyinga","284-SB4 Nakiyinga"
7,RT0007,4,"Atuwanguza Investments Ltd - Abaita",ABAITA,3,HC00000003,"Atuwanguza Investments Ltd - Abaita",2,Central1,25,"South Buganda 7",Uganda,107,"Central 1 Jerome","107-Central 1 Jerome",284,"SB4 Nakiyinga","284-SB4 Nakiyinga"
8,RT0008,4,"Atuwanguza Investments Ltd - Abaita",ABAITA,3,HC00000003,"Atuwanguza Investments Ltd - Abaita",2,Central1,25,"South Buganda 7",Uganda,107,"Central 1 Jerome","107-Central 1 Jerome",284,"SB4 Nakiyinga","284-SB4 Nakiyinga"
244,RT0231,4,"Atuwanguza Investments Ltd - Abaita",ABAITA,3,HC00000003,"Atuwanguza Investments Ltd - Abaita",2,Central1,25,"South Buganda 7",Uganda,107,"Central 1 Jerome","107-Central 1 Jerome",284,"SB4 Nakiyinga","284-SB4 Nakiyinga"
